1	10	1
1	15	1
1	17	1
1	18	1
1	19	1
1	27	1
1	30	1
1	32	1
1	33	1
1	38	1
1	39	1
1	41	1
1	43	1
1	44	1
1	45	1
1	46	1
1	49	1
1	51	1
1	57	1
1	64	1
2	10	1
2	15	1
2	17	1
2	18	1
2	19	1
2	27	1
2	33	1
2	34	1
2	39	1
2	43	1
2	44	1
2	46	1
2	49	1
2	51	1
2	52	1
2	57	1
2	64	1
3	10	1
3	17	1
3	18	1
3	19	1
3	27	1
3	33	1
3	34	1
3	35	1
3	43	1
3	44	1
3	46	1
3	51	1
3	52	1
3	64	1
4	10	1
4	11	1
4	18	1
4	19	1
4	27	1
4	33	1
4	34	1
4	35	1
4	44	1
4	46	1
4	51	1
4	52	1
4	53	1
4	64	1
5	6	1
5	10	1
5	18	1
5	27	1
5	33	1
5	34	1
5	35	1
5	40	1
5	44	1
5	46	1
5	51	1
5	52	1
5	53	1
5	64	1
6	18	1
6	19	1
6	27	1
6	34	1
6	35	1
6	40	1
6	42	1
6	44	1
6	46	1
6	52	1
6	53	1
6	64	1
7	6	1
7	18	1
7	27	1
7	34	1
7	40	1
7	42	1
7	44	1
7	46	1
7	52	1
7	53	1
7	64	1
8	15	1
8	17	1
8	18	1
8	19	1
8	21	1
8	27	1
8	33	1
8	39	1
8	43	1
8	44	1
8	45	1
8	46	1
8	49	1
8	51	1
8	57	1
8	64	1
9	10	1
9	11	1
9	15	1
9	17	1
9	18	1
9	19	1
9	21	1
9	27	1
9	33	1
9	43	1
9	44	1
9	46	1
9	49	1
9	50	1
9	51	1
9	52	1
9	57	1
9	64	1
10	11	1
10	17	1
10	18	1
10	19	1
10	27	1
10	33	1
10	44	1
10	46	1
10	49	1
10	50	1
10	51	1
10	52	1
10	53	1
10	64	1
11	10	1
11	17	1
11	18	1
11	19	1
11	27	1
11	33	1
11	34	1
11	44	1
11	46	1
11	51	1
11	52	1
11	53	1
11	64	1
12	10	1
12	11	1
12	18	1
12	19	1
12	27	1
12	44	1
12	46	1
12	51	1
12	52	1
12	53	1
12	64	1
13	10	1
13	11	1
13	17	1
13	18	1
13	19	1
13	27	1
13	40	1
13	42	1
13	44	1
13	46	1
13	52	1
13	53	1
13	64	1
14	10	1
14	11	1
14	18	1
14	27	1
14	40	1
14	42	1
14	43	1
14	44	1
14	52	1
14	53	1
14	64	1
15	10	1
15	11	1
15	13	1
15	17	1
15	18	1
15	19	1
15	27	1
15	34	1
15	44	1
15	45	1
15	46	1
15	47	1
15	48	1
15	49	1
15	50	1
15	53	1
15	57	1
15	58	1
15	64	1
16	10	1
16	11	1
16	15	1
16	17	1
16	18	1
16	19	1
16	21	1
16	27	1
16	44	1
16	46	1
16	49	1
16	50	1
16	51	1
16	52	1
16	53	1
16	57	1
16	58	1
16	64	1
17	10	1
17	11	1
17	18	1
17	19	1
17	27	1
17	44	1
17	46	1
17	49	1
17	50	1
17	51	1
17	52	1
